,Brand,Link,Price,Rating
68,Young Tabacaleros Freshman Lancero,https://privadacigarclub.com/shop/young-tabacaleros-young-freshman-lanceros/,$14.00,3.00
69,Illusione Cigares Privé PCC Exclusive,https://privadacigarclub.com/shop/illusione-cigares-prive-5-3-4-x-42/,$10.00,4.00
70,Sinistro La Fabrica Barba Roja,https://privadacigarclub.com/shop/sinistro-la-fabrica-barba-roja/,$45.00,
71,French Collection Cardinal Louis XIV Aged 4 Years,https://privadacigarclub.com/shop/french-collection-cardinal-louis-xiv/,$10.00,4.75
72,Tehran Banker Dark by Kafe 1901 Cigars,https://privadacigarclub.com/shop/tehran-banker-dark-by-kafe-1901-cigars/,$9.00,5.00
73,French Collection Cardinal Mazarin,https://privadacigarclub.com/shop/french-collection-cardinal-mazarin/,$10.00,5.00
74,Cigar Obsession 1st Third AGED 5 YEARS!!!,https://privadacigarclub.com/shop/cigar-obsession-1st-third-toro/,$8.00,4.71
75,Fake Cuban #190,https://privadacigarclub.com/shop/fake-cuban/,$9.00,3.45
76,Montenegro Red Label Gordito,https://privadacigarclub.com/shop/montenegro-red-label-gordito/,$11.00,5.00
77,Pier 28 Maduro Rabito Box-Pressed PCC Exclusive,https://privadacigarclub.com/shop/pier-28-maduro-rabito-box-pressed-pcc-exclusive/,$7.00,2.00
78,DO NOT BUY THIS,https://privadacigarclub.com/shop/do-not-buy-this/,$8.50,4.94
79,CLE PLUS 2013 Aged 7 Years,https://privadacigarclub.com/shop/cle-plus-2013-aged-7-years/,$11.00 – $11.50,4.57
80,Montenegro Red Label Corona Aged 4.5 Years (Farmers Blend),https://privadacigarclub.com/shop/montenegro-red-label-corona-aged-4-5-years-farmers-blend/,$20.00 $10.00,4.80
81,Southern Draw Connecticut Shade Privada Cigar Club 2020 Exclusive Aged 1 year,https://privadacigarclub.com/shop/southern-draw-connecticut-shade-privada-cigar-club-2020-exclusive-aged-1-year/,$12.00,4.50
82,Southern Draw Habano Privada Cigar Club 2020 Exclusive Aged 1 year,https://privadacigarclub.com/shop/southern-draw-habano-privada-cigar-club-2020-exclusive-aged-1-year/,$12.00,5.00
83,Espinosa Silver Toro Event Only Cigar Aged 2 years,https://privadacigarclub.com/shop/349685/,$12.00,5.00
84,Lost & Found Purple Drank,https://privadacigarclub.com/shop/lost-found-purple-drank/,$12.00,4.36
85,The Good Life by Brian Desind (J.C. Newman) 2nd Edition,https://privadacigarclub.com/shop/the-good-life-by-brian-desind-j-c-newman/,$11.00,4.89
86,Uncle Paulie’s Deli Robusto,https://privadacigarclub.com/shop/uncle-paulies-deli-aka-the-good-morning/,$9.00,4.92
87,Padilla 1932 Robusto aged 2.5 years,https://privadacigarclub.com/shop/padilla-1932-robusto-aged-2-5-years/,$13.00,5.00
88,Room 101 Ichiban Salamon 2015 Aged 5 years made exclusively for West Side Humidor in Kansas,https://privadacigarclub.com/shop/room-101-ichiban-salamon-2015-aged-4-years-made-exclusively-for-west-side-humidor-in-kansas/,$20.00,4.40
89,My Blue Heaven the RE-UP!! 2020 Un-Banded,https://privadacigarclub.com/shop/my-blue-heaven/,$11.00,4.88
90,Avo LE 05 2017 (Lost Edition),https://privadacigarclub.com/shop/avo-le-05-2017-lost-edition/,$12.00,5.00
91,HVC PCC Exclusive,https://privadacigarclub.com/shop/hvc-pcc-exclusive/,$12.00,4.50
92,Kuwait Diplomat,https://privadacigarclub.com/shop/kuwait-diplomat/,$15.00,5.00
93,The Gift Box,https://privadacigarclub.com/shop/the-gift-box/,$26.99,4.67
94,My Blue Heaven Cigar Band Sticker-Donates to charity,https://privadacigarclub.com/shop/my-blue-heaven-cigar-band-sticker/,$3.00,5.00
95,The Cult Torpedo 2012 Vintage,https://privadacigarclub.com/shop/the-cult-churchill-2012-vintage/,$15.00,4.67
96,Paul Stulac Red Screaming Sun 2019 Privada Exclusive Release Lancero,https://privadacigarclub.com/shop/paul-stulac-red-screaming-sun-2019-privada-exclusive-release-lancero/,$9.50,4.90
